event_id,timestamp_utc,ticker,source,lang,text
evt_000000,2024-01-25 17:00:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT bearish setup market outlook
evt_000001,2024-02-01 04:00:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT flat move market outlook
evt_000002,2024-02-07 04:55:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT flat move market outlook
evt_000003,2024-01-28 05:15:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT risk off market outlook
evt_000004,2024-02-09 07:45:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT strong demand market outlook
evt_000005,2024-02-08 23:30:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT range market outlook
evt_000006,2024-02-08 01:00:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT bullish setup market outlook
evt_000007,2024-01-16 06:35:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT positive momentum market outlook
evt_000008,2024-01-17 06:45:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT breakdown market outlook
evt_000009,2024-01-18 20:05:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT strong demand market outlook
evt_000010,2024-01-21 05:50:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT bearish setup market outlook
evt_000011,2024-01-05 21:35:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT bearish setup market outlook
evt_000012,2024-01-23 01:15:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT sell pressure market outlook
evt_000013,2024-02-09 15:50:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT breakdown market outlook
evt_000014,2024-01-30 20:05:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT bearish setup market outlook
evt_000015,2024-01-05 02:10:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT sell pressure market outlook
evt_000016,2024-01-07 10:40:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT flat move market outlook
evt_000017,2024-01-19 13:55:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT breakdown market outlook
evt_000018,2024-01-20 22:55:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT uncertain market outlook
evt_000019,2024-01-14 16:30:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT breakdown market outlook
evt_000020,2024-01-09 19:40:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT negative momentum market outlook
evt_000021,2024-02-04 19:40:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT uncertain market outlook
evt_000022,2024-01-29 19:00:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT sell pressure market outlook
evt_000023,2024-01-02 03:10:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT breakdown market outlook
evt_000024,2024-01-17 09:40:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT risk off market outlook
evt_000025,2024-02-04 04:10:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT uncertain market outlook
evt_000026,2024-01-08 03:20:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT breakout market outlook
evt_000027,2024-01-13 04:40:00+00:00,ETHUSDT,demo_feed,en,ETHUSDT negative momentum market outlook
evt_000028,2024-01-08 14:35:00+00:00,BTCUSDT,demo_feed,en,BTCUSDT bearish setup market outlook
